사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars,소재지,법정동
돈내코힐리조트,한식,영업,제주특별자치도 서귀포시 상효동 2205번지 ,제주특별자치도 서귀포시 돈내코로 180 (상효동),48,4.1,19,0,0.0,서귀포시,서귀포
청춘괴기,한식,영업,제주특별자치도 서귀포시 법환동 736-5 ,제주특별자치도 서귀포시 김정문화로41번길 24-5 (법환동),214,4.8,173,0,0.0,서귀포시,서귀포
마우돈,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 1064-3번지 ,제주특별자치도 서귀포시 성산읍 서성일로 1240,83,4.1,75,0,0.0,서귀포시,성산
착한갈치,고기,영업,제주특별자치도 서귀포시 보목동 535번지 ,제주특별자치도 서귀포시 보목포로 35 (보목동),163,4.8,147,0,0.0,서귀포시,서귀포
다정이네올레시장,한식,영업,제주특별자치도 서귀포시 서귀동 255-7 ,제주특별자치도 서귀포시 동문로 59-1 (서귀동),218,4.2,264,0,0.0,서귀포시,서귀포
은식당,분식,영업,제주특별자치도 서귀포시 남원읍 113-5번지 ,제주특별자치도 서귀포시 남원읍 태위로 672-2,156,4.1,151,0,0.0,서귀포시,남원
일출로해장국,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 331-7번지 ,제주특별자치도 서귀포시 성산읍 일출로 32-2,101,4.0,77,0,0.0,서귀포시,성산
카페148,카페,영업,제주특별자치도 서귀포시 성산읍 삼달리 437-1번지 1호,"제주특별자치도 서귀포시 성산읍 삼달로 148, 1호",32,4.1,12,0,0.0,서귀포시,성산
제주김만복김밥서귀포,중식,영업,"제주특별자치도 서귀포시 강정동 428-4 , 1층 ","제주특별자치도 서귀포시 월드컵로 117, 1층 (강정동)",226,4.1,422,0,0.0,서귀포시,중문
정희네해물탕,한식,영업,"제주특별자치도 서귀포시 서귀동 316-5 , 지하2층 ","제주특별자치도 서귀포시 중정로 14, 지하2층 (서귀동)",130,3.5,91,0,0.0,서귀포시,서귀포
24시뼈다귀탕중문,한식,영업,제주특별자치도 서귀포시 중문동 2439-1번지 1층 ,"제주특별자치도 서귀포시 중문관광로 335, 1층 (중문동)",56,4.6,10,0,0.0,서귀포시,중문
혜원,고기,영업,제주특별자치도 서귀포시 안덕면 서광리 2326-4번지 1층 ,"제주특별자치도 서귀포시 안덕면 화순서서로 397, 1층",56,4.4,87,0,0.0,서귀포시,안덕
일출봉도식후경,일식,영업,제주특별자치도 서귀포시 성산읍 고성리 531번지 ,"제주특별자치도 서귀포시 성산읍 섭지코지로26번길 6, 1층 6호",85,4.8,95,0,0.0,서귀포시,성산
대평밥상,경양식,영업,제주특별자치도 서귀포시 안덕면 창천리 788-8번지 ,"제주특별자치도 서귀포시 안덕면 난드르로21번길 6-13, 1층",35,4.6,58,0,0.0,서귀포시,안덕
