사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars
숙성1퍼센트,한식,영업,제주특별자치도 제주시 노형동 3785-3 ,"제주특별자치도 제주시 노형10길 25, 1층 101호 (노형동)",,,,
아라연,한식,영업,제주특별자치도 제주시 조천읍 교래리 산 61-1 ,"제주특별자치도 제주시 조천읍 남조로 1842, 1층",,,,
곽지뽕끌락,한식,영업,제주특별자치도 제주시 애월읍 곽지리 2053-7 ,"제주특별자치도 제주시 애월읍 일주서로 6001, 1층",,,,
돌아볼고예쁠산,한식,영업,제주특별자치도 제주시 한경면 고산리 2615-1 ,"제주특별자치도 제주시 한경면 고산로8길 4-1, 1층 101호",,,,
서흘포함덕점,고기,영업,제주특별자치도 제주시 조천읍 함덕리 4158-1 ,"제주특별자치도 제주시 조천읍 함덕30길 14-15, 1층",,,,
썸카페,카페,영업,제주특별자치도 제주시 연동 1489 호연주택 ,"제주특별자치도 제주시 국기로1길 19, 호연주택 1층 (연동)",,,,
해문달술,한식,영업,제주특별자치도 제주시 한경면 고산리 3605-2 차귀낚시점 ,"제주특별자치도 제주시 한경면 노을해안로 1174, 차귀낚시점 1층",,,,
맠,카페,영업,"제주특별자치도 제주시 일도일동 1103 동문공설시장, 동문공영주차장 ","제주특별자치도 제주시 동문로4길 9, 동문공설시장, 동문공영주차장 지하1층 D-3호 (일도일동)",,,,
멕시카나광령점,호프,영업,제주특별자치도 제주시 애월읍 광령리 53-1 ,"제주특별자치도 제주시 애월읍 중산간서로 6703, 1층",,,,
돌트멍으로드는보름,경양식,영업,제주특별자치도 제주시 조천읍 와흘리 1599 ,"제주특별자치도 제주시 조천읍 와흘4길 59-1, 1층",,,,
순수한둠비용담점,한식,영업,제주특별자치도 제주시 용담일동 310 ,"제주특별자치도 제주시 서문로 37-11, 1층 (용담일동)",,,,
오늘와인한잔제주아라점,경양식,영업,제주특별자치도 제주시 아라일동 6116-6 아라빌딩 ,"제주특별자치도 제주시 인다2길 36, 아라빌딩 1층 (아라일동)",,,,
젬스토랑,경양식,영업,제주특별자치도 제주시 애월읍 신엄리 2860-3 ,"제주특별자치도 제주시 애월읍 부룡수길 38-36, 1층",,,,
아맛나찜닭제주점,한식,영업,제주특별자치도 제주시 연동 295-2 ,"제주특별자치도 제주시 신대로20길 22, 1층 (연동)",,,,
그랜드키친,뷔페,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트 ,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 4층 (노형동)",,,,
녹나무,한식,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트 ,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 3층 (노형동)",,,,
봉구식탁,경양식,영업,제주특별자치도 제주시 애월읍 유수암리 1894 ,"제주특별자치도 제주시 애월읍 유수암평화길 14-3, 1층",,,,
애월의맛,한식,영업,제주특별자치도 제주시 애월읍 애월리 2482-1 ,"제주특별자치도 제주시 애월읍 애월로 37, 지하1층",,,,
시장밥상,한식,영업,제주특별자치도 제주시 일도일동 1136-1 ,"제주특별자치도 제주시 동문로4길 3, 1층 (일도일동)",,,,
푸짐한소주방,술집,영업,제주특별자치도 제주시 구좌읍 세화리 1538-2 ,"제주특별자치도 제주시 구좌읍 구좌로 34, 1층",,,,
차이나하우스앤제주핫팟,중식,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트 ,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 3층 (노형동)",,,,
