사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동
옥만이네,한식,영업,제주특별자치도 제주시 한림읍 한림리 1314-29 ,"제주특별자치도 제주시 한림읍 한림해안로 160, 1층",188,4.0,0,0.0,제주시,한림
이올라니,카페,영업,제주특별자치도 제주시 용담일동 2814-12번지 ,"제주특별자치도 제주시 남성로8길 1, 1층 (용담일동)",54,3.6,11,0.0,제주시,제주
평대전복,해산물,영업,제주특별자치도 제주시 구좌읍 평대리 515-9 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1254-2, 1층",73,4.5,0,0.0,제주시,구좌
제주해물통,한식,영업,제주특별자치도 제주시 조천읍 북촌리 362 ,제주특별자치도 제주시 조천읍 일주동로 1584,53,5.0,650,4.94,제주시,조천
함덕주막,한식,영업,제주특별자치도 제주시 조천읍 함덕리 955-8 ,"제주특별자치도 제주시 조천읍 함덕로 20, 1층",102,4.0,0,0.0,제주시,조천
어박사,해산물,영업,제주특별자치도 제주시 한림읍 동명리 1715 ,"제주특별자치도 제주시 한림읍 한림로 564, 1층",148,4.6,1388,4.55,제주시,한림
이춘옥의원조고등어쌈밥,한식,영업,제주특별자치도 제주시 애월읍 하귀1리 266-1 (1층) ,"제주특별자치도 제주시 애월읍 일주서로 7213, 1층",1140,4.4,10611,4.62,제주시,애월
문동일셰프녹차고을,한식,영업,제주특별자치도 제주시 애월읍 하귀1리 235-5 ,"제주특별자치도 제주시 애월읍 하귀동남4길 13-1, 1층",81,3.9,389,4.63,제주시,애월
스시권,일식,영업,제주특별자치도 제주시 노형동 1287-3 제1호(1층) ,"제주특별자치도 제주시 노형로 401 (노형동, 제1호)",67,4.4,342,4.34,제주시,제주
삼성혈해물탕1호,한식,영업,제주특별자치도 제주시 도두일동 2622-15번지 (1층) ,제주특별자치도 제주시 도두항서7길 23 (도두일동),32,4.2,255,4.43,제주시,제주
어디가코연동,고기,영업,제주특별자치도 제주시 연동 272-53 ,제주특별자치도 제주시 연동7길 18 (연동),50,5.0,95,5.0,제주시,제주
선흘곶,한식,영업,제주특별자치도 제주시 조천읍 선흘리 산 22 ,제주특별자치도 제주시 조천읍 동백로 102,128,4.0,881,4.48,제주시,조천
곰막,한식,영업,제주특별자치도 제주시 구좌읍 동복리 667-1번지 (1층) ,제주특별자치도 제주시 구좌읍 구좌해안로 64,246,3.8,0,0.0,제주시,구좌
