사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num
달리는섬,푸드트럭,영업,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,0,5.0,2
아체레타커피로스팅하우스,카페,영업,제주특별자치도 제주시 조천읍 함덕리 2592-1 ,"제주특별자치도 제주시 조천읍 함조길 129-98, 1~2층",8,4.8,16
볕이드는곳벧디2호,푸드트럭,영업,제주특별자치도 제주시 연동 1320 ,제주특별자치도 제주시 은수길 69 (연동),1,0.0,0
구름카스테라,카페,영업,제주특별자치도 제주시 아라일동 6093-7번지 ,"제주특별자치도 제주시 아란8길 16, 1층 (아라일동)",0,0,0
해를품은달,푸드트럭,영업,제주특별자치도 제주시 연동 1320 ,제주특별자치도 제주시 은수길 69 (연동),0,0,0
윤스타푸드트럭,푸드트럭,영업,제주특별자치도 제주시 연동 1326 ,제주특별자치도 제주시 은수길 65 (연동),0,0.0,0
세화인,카페,영업,제주특별자치도 제주시 구좌읍 세화리 3644-8번지 ,"제주특별자치도 제주시 구좌읍 세화3길 27-2, 1층",0,0.0,0
감성커피연동점,카페,영업,제주특별자치도 제주시 연동 275-6번지 연동가나휘닉스1 ,"제주특별자치도 제주시 신대로20길 46, 1층 102호 (연동, 연동가나휘닉스1)",1,0.0,0
말벗카페,카페,영업,제주특별자치도 제주시 조천읍 선흘리 454-1번지 1층 ,"제주특별자치도 제주시 조천읍 번영로 1734-15, 1층",1,4.0,2
슈퍼윙스키즈카페제주점,카페,영업,제주특별자치도 제주시 오라삼동 2401-46번지 ,"제주특별자치도 제주시 서광로 112, 4층 (오라삼동)",0,0,0
젤리빈슬라임하우스,카페,영업,제주특별자치도 제주시 노형동 59번지 ,"제주특별자치도 제주시 과원로 18-1, 1층 (노형동)",0,0,0
장청림다방,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1464-7 ,"제주특별자치도 제주시 구좌읍 세화5길 4, 1층",0,0.0,0
파스쿠찌제주서사라점,카페,영업,제주특별자치도 제주시 삼도일동 565-4번지 ,"제주특별자치도 제주시 서광로 206-1, 1층 (삼도일동)",0,0,0
에이바우트커피함덕해수욕장점,카페,영업,제주특별자치도 제주시 조천읍 함덕리 1004-28 ,"제주특별자치도 제주시 조천읍 조함해안로 526, 1~2층",50,4.2,36
컵앤케이크,카페,영업,제주특별자치도 제주시 조천읍 함덕리 4155-6 ,"제주특별자치도 제주시 조천읍 함덕24길 6-6, 1층 102호",7,0.0,0
퐁당퐁당,카페,영업,제주특별자치도 제주시 구좌읍 동복리 611 ,"제주특별자치도 제주시 구좌읍 구좌해안로 52-29, 가동 1층",0,0.0,0
에이바우트제주대후문점,카페,영업,제주특별자치도 제주시 아라일동 368-72 ,"제주특별자치도 제주시 산천단동2길 16, 1층 (아라일동)",0,0,0
엘리사,카페,영업,제주특별자치도 제주시 애월읍 하귀2리 2753-3 ,"제주특별자치도 제주시 애월읍 가문동상2길 28, 1층",44,5.0,7
위드유,카페,영업,제주특별자치도 제주시 노형동 82-3 ,"제주특별자치도 제주시 은수길 44, 1층 (노형동)",9,5.0,8
카페인포니,카페,영업,제주특별자치도 제주시 조천읍 교래리 579-10 ,"제주특별자치도 제주시 조천읍 비자림로 702-118, 2층",0,0,0
펫다방,카페,영업,제주특별자치도 제주시 노형동 920-6 정원빌딩 ,"제주특별자치도 제주시 1100로 3328, 정원빌딩 1층 (노형동)",1,1.5,4
달리는커피제주삼화점,카페,영업,제주특별자치도 제주시 도련일동 1909 제주삼화사랑으로부영7차 ,"제주특별자치도 제주시 화삼북로 90, 상가동 1층 105호 (도련일동, 제주삼화사랑으로부영7차)",0,0,0
봄봄삼도점,카페,영업,제주특별자치도 제주시 용담일동 264-3 ,"제주특별자치도 제주시 남성로 51, 1층 (용담일동)",1,0.0,0
