사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars
그초록,경양식,영업,제주특별자치도 제주시 구좌읍 행원리 1485번지 ,"제주특별자치도 제주시 구좌읍 행원로7길 23-16, 1층",158,4.3,80,0,0.0
뚱보아저씨,한식,영업,제주특별자치도 제주시 한경면 저지리 1715-24번지 ,"제주특별자치도 제주시 한경면 중산간서로 3651, 1층",139,4.0,185,0,0.0
담뽀뽀,분식,영업,제주특별자치도 제주시 아라일동 6054-8번지 ,"제주특별자치도 제주시 아란2길 56, 1층 (아라일동)",44,3.8,27,0,0.0
규태네,한식,영업,제주특별자치도 제주시 노형동 917-10번지 (연동로136) ,"제주특별자치도 제주시 노연로 55 (노형동,(연동로136))",69,4.0,32,0,0.0
솔지시청점,한식,영업,제주특별자치도 제주시 이도이동 1182-24번지 ,제주특별자치도 제주시 광양13길 14 (이도이동),50,4.0,43,0,0.0
저팔계깡통숯불구이,고기,영업,제주특별자치도 제주시 조천읍 함덕리 1269-1 ,"제주특별자치도 제주시 조천읍 신북로 523, 1층",41,4.3,47,0,0.0
메리앤폴,한식,영업,제주특별자치도 제주시 한림읍 귀덕리 1173번지 (1층) ,제주특별자치도 제주시 한림읍 일주서로 5872 ((1층)),36,4.6,51,0,0.0
파도소리해녀촌,한식,영업,제주특별자치도 제주시 우도면 연평리 874-2번지 (1층) ,제주특별자치도 제주시 우도면 우도해안길 510,266,4.4,92,0,0.0
정개,한식,영업,제주특별자치도 제주시 삼도일동 570-13 ,"제주특별자치도 제주시 서사로21길 3, 1층 (삼도일동)",42,4.4,33,0,0.0
팔팔돼지,한식,영업,제주특별자치도 제주시 연동 261-10번지 ,제주특별자치도 제주시 제원길 7 (연동),67,3.5,20,0,0.0
미엘드세화,카페,영업,제주특별자치도 제주시 구좌읍 세화리 1476-1번지 ,제주특별자치도 제주시 구좌읍 해맞이해안로 1464,62,4.4,64,0,0.0
