사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동,위도,경도
퀸즈블루애월,카페,영업,제주특별자치도 제주시 애월읍 애월리 2527-3 ,"제주특별자치도 제주시 애월읍 애월로1길 24-9, 2층",0,0.0,205,4.41,제주시,애월,33.463216978403, 126.309713460168
젤마씨,카페,영업,제주특별자치도 제주시 노형동 2860 제주시농협하나로유통센터 ,"제주특별자치도 제주시 월광로 77, 1층 (노형동)",27,4.9,188,4.78,제주시,제주,33.4878699785243, 126.467714722713
구움디저트,카페,영업,제주특별자치도 제주시 노형동 758 ,"제주특별자치도 제주시 진군3길 27-27, 1층 (노형동)",7,5.0,98,4.76,제주시,제주,33.4769394041716, 126.47773028492
카페이유,카페,영업,제주특별자치도 제주시 연동 1950-6 위더스빌 ,"제주특별자치도 제주시 남녕로 54, 1층 101호 (연동, 위더스빌)",4,4.0,83,4.58,제주시,제주,33.4921469927808, 126.47967758154
카페편린,카페,영업,제주특별자치도 제주시 구좌읍 상도리 1312-1 ,제주특별자치도 제주시 구좌읍 상도로 490,15,4.9,128,4.73,제주시,구좌,33.4756593245001, 126.842921658808
빈2020,카페,영업,제주특별자치도 제주시 한경면 용수리 4289 ,제주특별자치도 제주시 한경면 한경해안로 120,13,4.8,293,4.61,제주시,한경,33.3211572575244, 126.167298178212
브라운아라,카페,영업,제주특별자치도 제주시 아라일동 6113-10 재이빌 ,"제주특별자치도 제주시 인다3길 22, 재이빌 1층 (아라일동)",9,4.0,95,4.48,제주시,제주,33.47569855239, 126.547777342259
더블유,카페,영업,제주특별자치도 제주시 우도면 연평리 1737-11 ,"제주특별자치도 제주시 우도면 우도로 4-3, 1층",3,5.0,50,4.04,제주시,우도,33.493094615539, 126.951867280824
아녹,카페,영업,제주특별자치도 제주시 한경면 낙천리 2185 ,"제주특별자치도 제주시 한경면 낙조길 22, 1층",8,5.0,182,5.0,제주시,한경,33.3232281113105, 126.224255345827
리프커피,카페,영업,제주특별자치도 제주시 이도이동 1138-14 ,"제주특별자치도 제주시 동고산로 35, 1층 (이도이동)",0,5.0,96,4.76,제주시,제주,33.4991433836053, 126.534586388697
시시소소,카페,영업,제주특별자치도 제주시 구좌읍 송당리 1352-2 ,"제주특별자치도 제주시 구좌읍 중산간동로 2247, 1층",23,4.9,162,4.63,제주시,구좌,33.4720624346568, 126.782877098759
컴포즈커피제주이도,카페,영업,제주특별자치도 제주시 이도이동 2008-4 ,"제주특별자치도 제주시 구남동6길 6, 1층 (이도이동)",3,4.3,88,4.39,제주시,제주,33.4886974657334, 126.538356127519
테라피쉬,카페,영업,제주특별자치도 제주시 아라이동 34-9 ,"제주특별자치도 제주시 능선길 220, 1층 (아라이동)",1,4.5,100,4.8,제주시,제주,33.4609864988401, 126.562232010146
에이바우트커피에코그린빌15차,카페,영업,제주특별자치도 제주시 이도이동 68-15 ,"제주특별자치도 제주시 연북로 704, 지하1층,지상1층 (이도이동)",2,5.0,77,4.35,제주시,제주,33.4943993988067, 126.551534996541
세븐일레븐신영로,패스트푸드,영업,제주특별자치도 서귀포시 대정읍 하모리 1170-3 ,제주특별자치도 서귀포시 대정읍 신영로 26,0,0.0,63,4.41,서귀포시,대정,33.2233682121977, 126.247505387584
새코롬,카페,영업,제주특별자치도 서귀포시 중문동 1167-9 ,"제주특별자치도 서귀포시 중산간서로 777, 1층 (중문동)",0,1.0,75,4.07,서귀포시,중문,33.2621548666325, 126.432381737611
수하리(SUHARI),카페,영업,제주특별자치도 서귀포시 성산읍 온평리 839 ,제주특별자치도 서귀포시 성산읍 온평애향로 21,0,0.0,401,4.87,서귀포시,성산,33.4078615622093, 126.899906888315
설빙,카페,영업,제주특별자치도 서귀포시 서귀동 370-21 ,"제주특별자치도 서귀포시 이중섭로 4-1, 2층 (서귀동)",0,2.0,177,4.09,서귀포시,서귀포,33.2476417140548, 126.564024589681
물고기나무,카페,영업,제주특별자치도 서귀포시 성산읍 삼달리 1037 ,제주특별자치도 서귀포시 성산읍 중산간동로 4204-14,20,4.8,187,4.9,서귀포시,성산,33.3789439950153, 126.84076458528
섶섬지기,카페,영업,제주특별자치도 서귀포시 보목동 1377-3 ,제주특별자치도 서귀포시 보목로64번길 79 (보목동),7,3.9,245,4.23,서귀포시,서귀포,33.2370722786426, 126.595831657222
카페린다,카페,영업,제주특별자치도 서귀포시 서호동 1239-6 ,제주특별자치도 서귀포시 중산간동로 8434 (서호동),0,3.5,62,4.53,서귀포시,서귀포,33.2608030068744, 126.515783412888
낭만팥집,카페,영업,제주특별자치도 서귀포시 동홍동 92-12 ,제주특별자치도 서귀포시 동홍서로96번길 17 (동홍동),28,4.5,206,4.48,서귀포시,서귀포,33.257463185111, 126.571421357388
조안베어뮤지엄,카페,영업,제주특별자치도 서귀포시 대포동 1960 ,제주특별자치도 서귀포시 대포로 113 (대포동),17,4.9,582,4.51,서귀포시,서귀포,33.2400534763099, 126.434281669342
쇠소깍휴게소,카페,영업,제주특별자치도 서귀포시 하효동 995 ,제주특별자치도 서귀포시 쇠소깍로 128 (하효동),0,4.7,122,4.19,서귀포시,서귀포,33.2522502331569, 126.623006619381
이디야제주중문관광로,카페,영업,제주특별자치도 서귀포시 중문동 1920-1 ,제주특별자치도 서귀포시 중문관광로 348 (중문동),0,3.0,207,4.29,서귀포시,중문,33.2510478970234, 126.43167589419
제주몽,카페,영업,제주특별자치도 서귀포시 중문동 2026 ,제주특별자치도 서귀포시 천제연로 194 (중문동),14,4.2,136,4.44,서귀포시,중문,33.2516022754474, 126.425546899833
북마크하우스,카페,영업,제주특별자치도 서귀포시 대정읍 일과리 1318-3 ,제주특별자치도 서귀포시 대정읍 일과대수로11번길 16-8,13,5.0,351,4.92,서귀포시,대정,33.2387584420774, 126.231546132524
드롭탑 서귀포갤러리 왈,카페,영업,제주특별자치도 서귀포시 동홍동 281-2 ,제주특별자치도 서귀포시 칠십리로214번길 30 (동홍동),0,1.0,103,4.37,서귀포시,서귀포,33.2451967487512, 126.573696696287
피자클럽성산동남,패스트푸드,영업,제주특별자치도 서귀포시 성산읍 고성리 1198-1 ,제주특별자치도 서귀포시 성산읍 고성동서로 71,0,0.0,108,4.47,서귀포시,성산,33.4508500906326, 126.914768304822
시카고피자남원,패스트푸드,영업,제주특별자치도 서귀포시 남원읍 남원리 117-2 ,제주특별자치도 서귀포시 남원읍 태위로 659,10,3.7,166,4.59,서귀포시,남원,33.2787493737273, 126.716962920213
제이팩토리,카페,영업,제주특별자치도 서귀포시 토평동 1797 ,제주특별자치도 서귀포시 토평공단로 78-32 (토평동),2,0.0,253,4.56,서귀포시,서귀포,33.2882768341913, 126.589421793023
카페봄봄서귀포,카페,영업,제주특별자치도 서귀포시 동홍동 642-1 ,제주특별자치도 서귀포시 동홍서로 47 (동홍동),1,0.0,153,4.42,서귀포시,서귀포,33.2531918900723, 126.569462523079
미남미녀,카페,영업,제주특별자치도 서귀포시 색달동 2223 ,제주특별자치도 서귀포시 색달중앙로55번길 22 (색달동),0,0.0,139,4.69,서귀포시,중문,33.2601883557955, 126.412221426448
백주산보,카페,영업,제주특별자치도 서귀포시 보목동 1235-4 ,제주특별자치도 서귀포시 칠십리로 406 (보목동),6,5.0,55,4.8,서귀포시,서귀포,33.2438725774029, 126.594696027247
바바라코코,카페,영업,제주특별자치도 서귀포시 대포동 2270 ,제주특별자치도 서귀포시 이어도로 244 (대포동),0,5.0,71,4.28,서귀포시,서귀포,33.2423202472771, 126.445553812942
토끼떡공방,카페,영업,제주특별자치도 서귀포시 상예동 4640-3 ,제주특별자치도 서귀포시 일주서로 1290 (상예동),14,4.7,246,4.48,서귀포시,중문,33.2648238918741, 126.375336979979
와룽발리,카페,영업,제주특별자치도 서귀포시 법환동 161-6 3층 ,"제주특별자치도 서귀포시 막숙포로 70, 3층 (법환동)",11,4.8,118,4.76,서귀포시,서귀포,33.235404047764, 126.514301987911
오브제주,카페,영업,제주특별자치도 서귀포시 하효동 650 1층 ,"제주특별자치도 서귀포시 일주동로 8133, 1층 (하효동)",13,5.0,94,4.98,서귀포시,서귀포,33.2603701153343, 126.618530810081
제주당,카페,영업,제주특별자치도 서귀포시 법환동 163 ,제주특별자치도 서귀포시 막숙포로 74 (법환동),0,0.0,111,4.52,서귀포시,서귀포,33.2353167630385, 126.514046262972
